Split,Analysis,Level,Coverage,N,Error_Rate,Selective_Accuracy,Selective_ROC_AUC,Mean_Prediction_Risk,Error_Detection_ROC_AUC,Error_Detection_PR_AUC
external_unseen_student,Risk-coverage,0.8,0.8,18149,0.22745054823957242,0.7725494517604276,0.7845786275878079,0.7285041012006119,,
external_unseen_student,Risk-coverage,0.9,0.9,20418,0.2499755118033108,0.7500244881966892,0.7789597136496303,0.757049213193829,,
external_unseen_student,Risk-coverage,1.0,1.0,22687,0.27182968219685283,0.7281703178031471,0.7694225609252745,0.7811478024989107,,
external_unseen_student,Error detection,summary,1.0,22687,0.27182968219685283,,,0.7811478024989108,0.6943659399734037,0.41478180229258527
external_unseen_student,AURC,summary,1.0,22687,0.1493942380526837,,,0.7811478024989108,,
external_unseen_question,Prediction-risk quintile,1,0.20002796942010068,4291,0.11186203682125379,0.8881379631787463,0.6136045329309892,0.5022266843722218,,
external_unseen_question,Prediction-risk quintile,2,0.19998135371993286,4290,0.2456876456876457,0.7543123543123543,0.69676404647172,0.7764325251512771,,
external_unseen_question,Prediction-risk quintile,3,0.19998135371993286,4290,0.2902097902097902,0.7097902097902098,0.7118118667801542,0.8883085062317188,,
external_unseen_question,Prediction-risk quintile,4,0.19998135371993286,4290,0.382051282051282,0.617948717948718,0.6252521071053003,0.9570983843269165,,
external_unseen_question,Prediction-risk quintile,5,0.20002796942010068,4291,0.4614309018876719,0.5385690981123281,0.550493906467634,0.9933906321000308,,
external_unseen_question,Risk-coverage,0.1,0.1,2145,0.08111888111888112,0.9188811188811189,0.6163333858185063,0.3989395967875108,,
external_unseen_question,Risk-coverage,0.2,0.2,4290,0.11188811188811189,0.8881118881118881,0.6137655839895013,0.5021859327282064,,
external_unseen_question,Risk-coverage,0.30000000000000004,0.30000000000000004,6435,0.14794094794094795,0.8520590520590521,0.6553827825867874,0.5797524968852739,,
external_unseen_question,Risk-coverage,0.4,0.4,8580,0.1787878787878788,0.8212121212121212,0.7373789479938722,0.6392896151294558,,
external_unseen_question,Risk-coverage,0.5,0.5,10726,0.196904717508857,0.803095282491143,0.760675040344307,0.6849535733698593,,
external_unseen_question,Risk-coverage,0.6,0.6,12871,0.21591173956957502,0.784088260430425,0.7639212419114066,0.7223054717795241,,
external_unseen_question,Risk-coverage,0.7000000000000001,0.7000000000000001,15016,0.23661427810335642,0.7633857218966436,0.7632829807910471,0.7539462182809253,,
external_unseen_question,Risk-coverage,0.8,0.8,17161,0.25744420488316533,0.7425557951168347,0.7583921282647607,0.7810002794730334,,
external_unseen_question,Risk-coverage,0.9,0.9,19306,0.27763389619807316,0.7223661038019269,0.750048909643821,0.8040564362642563,,
external_unseen_question,Risk-coverage,1.0,1.0,21452,0.2982472496736901,0.7017527503263099,0.7409804311708923,0.8234842904334309,,
external_unseen_question,Error detection,summary,1.0,21452,0.2982472496736901,,,0.8234842904334309,0.6669816938691441,0.42655398790079324
external_unseen_question,AURC,summary,1.0,21452,0.18128088402762513,,,0.8234842904334309,,
