Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
DeepFM-style proxy,Collaborative Deep,21452,0.6848778668655603,0.6145972142467223,0.6143847494375406,0.6583007626280885,0.7268882034831818,0.8155466186662242,0.2733037634190713,0.2525367810221069,0.6114723702354119,0.2067288706582093,0.0831312302502788,0.6492565764391918,0.1215489950673636
Compact entity-token Transformer proxy,Deep Tabular,21452,0.6934551556964386,0.6456410050436907,0.6502466782690821,0.6829911398101849,0.7262428581053102,0.8135671369489128,0.3120741247993849,0.306228578198523,0.59841993555232,0.2036460906287376,0.0589791575737427,0.5338670733257085,0.1748509165869101
Deeper entity-token Transformer proxy,Deep Tabular,21452,0.6935017713966064,0.6315912343502869,0.634890793151345,0.6738556715333606,0.725910471671478,0.813207477964503,0.3002504578017332,0.2851407059508517,0.5880828940961111,0.201003654730608,0.0429139222714264,0.6008387342737324,0.1359787970256938
Decision Tree,Classical ML,21452,0.6388681707999254,0.6630518203520512,0.6361887052459829,0.6445050910011307,0.7238187068754051,0.8060593245620116,0.3157421903694491,0.2955110525505989,0.6269489220320601,0.2183845727852313,0.1290928428412367,0.2461558012453933,0.4277405580505043
Naive Bayes,Classical ML,21452,0.6873018832742868,0.6548953012672253,0.6572506695401394,0.6842835151441882,0.7177265725968243,0.7949397982601653,0.3158359873437242,0.3151653005651594,2.4274198868749317,0.2890588995075247,0.2766694576422333,0.4667683314271191,0.2234410660384304
Elo Rating,Psychometric,21452,0.6846447883647212,0.6366255878873956,0.6406635919974295,0.6741490758139126,0.7126431521344974,0.7996964535130513,0.2922441834376963,0.2869902584060527,0.5996785146518553,0.2061920933282519,0.0517329416117427,0.5436523065192528,0.1830965177059559
Student Historical Mean,Simple,21452,0.6810553794517994,0.6151872523258186,0.6161711397410784,0.6582061222475477,0.7028492179703261,0.7878996262579625,0.2671385653718979,0.2512324842618085,0.7329644301775237,0.2094261762730754,0.0491674718214001,0.6321006481128478,0.1375248472355149
Rasch-style logit baseline,Psychometric,21452,0.6562558269625209,0.5442293586335853,0.4946147204779713,0.5707453899844597,0.7025857984235656,0.7959115867903263,0.1697613027182282,0.1067763719414877,0.6353562695075343,0.2199824043451701,0.1176092955585115,0.8763502350997585,0.0351910476330707
2PL-inspired smoothed baseline,Psychometric,21452,0.6562558269625209,0.5442293586335853,0.4946147204779713,0.5707453899844597,0.7025857984235656,0.7959115867903263,0.1697613027182282,0.1067763719414877,0.6353562702413458,0.2199824044821426,0.1176092953544439,0.8763502350997585,0.0351910476330707
Student-Question Backoff Mean,Simple,21452,0.672245012120082,0.5796559172162336,0.561819907278649,0.6204111459325582,0.702514529989425,0.7928139288113087,0.2274280151842284,0.1842008542997737,0.600819570726488,0.2072251172509912,0.0351895075906493,0.7679501842673783,0.0727379813001546
DKT-inspired GRU proxy,Knowledge Tracing,21452,0.6559295170613463,0.6007991448573797,0.6023717933143218,0.6412424694848409,0.668688159430074,0.764658301105891,0.2198348078960251,0.213944955359985,0.6225389927336891,0.2157713409236503,0.0367762800774955,0.6061761341974838,0.1922255760877567
Static key-value attention proxy,Knowledge Tracing,21452,0.6390080179004288,0.6168663151156433,0.6154650003481373,0.6408087837493796,0.6659998448607581,0.7593831450460456,0.2314113708728892,0.2312233296983211,0.6311606264508519,0.2200847624798335,0.0718439850604025,0.466260007624857,0.3000073621438563
