slice,scenario,model,seed,N,students,questions,prediction_kind,weighting,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260715,905,621,686,temporal_outer,interaction,0.5880799045915308,0.7491354069452474,0.37993384142801034,0.5907451547810818,0.20081077414909382,0.034577281004932674,-0.05407887027090832,1.0125352098012579,0.7104972375690614,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260716,905,621,686,temporal_outer,interaction,0.5861180679785314,0.7462794701250435,0.37475082918314095,0.591851948161817,0.20126479841439315,0.030060785055875238,0.014772706868157568,0.9357365749473553,0.7071823204419896,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260717,905,621,686,temporal_outer,interaction,0.5838550983899804,0.7441065780264319,0.3795150450734594,0.5906784816476116,0.20072467554779655,0.035388602714018724,-0.07756667384518007,1.037756670126761,0.7127071823204426,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260718,905,621,686,temporal_outer,interaction,0.5780948121645778,0.7426591091968036,0.37380227416638917,0.5914422132343555,0.2010619275103433,0.02678773651425843,-0.01967078369356163,0.9721943617745921,0.7082872928176801,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260719,905,621,686,temporal_outer,interaction,0.5769618366129977,0.7390609691417578,0.3737383820454404,0.5919454026802841,0.20125123618700408,0.026651325464516457,-0.0009597932346350011,0.9586038092156292,0.7104972375690614,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260720,905,621,686,temporal_outer,interaction,0.5765384615384598,0.7396860696933139,0.37449242172249964,0.5919921058106806,0.201259471285127,0.026153246386322666,-0.001760906101245424,0.9571692106648714,0.7104972375690614,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260721,905,621,686,temporal_outer,interaction,0.5765235539654128,0.7401615697721522,0.3739619913241113,0.5919221285464973,0.20123050500580453,0.02695110473156255,-0.013050022945408489,0.9701702259263135,0.7127071823204426,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260722,905,621,686,temporal_outer,interaction,0.5822271914132362,0.7441286579789133,0.37674336154474886,0.5915249466487229,0.20108492540806713,0.040273775007296356,-0.02847772206100368,0.9833497295511291,0.7104972375690614,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260713,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260714,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260715,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260716,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260717,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260718,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260719,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260720,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260721,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,20260722,26943,659,10994,temporal_outer,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243026,-0.010773668635814018,1.0472327216609474,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260713,26943,659,10994,temporal_outer,interaction,0.7407534767734868,0.8585000796705765,0.5383602943616879,0.5372631532621912,0.18036572220059438,0.008514482046938061,0.020402917849490432,1.007389051970119,0.7298370634301747,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260714,26943,659,10994,temporal_outer,interaction,0.7405693742440563,0.8580251008607207,0.5383981140029996,0.5374891974802973,0.18041417973440693,0.007639758175815924,0.02046864961401696,1.0065823456995842,0.7299112942136805,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260715,26943,659,10994,temporal_outer,interaction,0.7407441299549461,0.8584332818996632,0.5389874459938265,0.5372885159893597,0.18036994032991366,0.009850842432161536,0.02108314574073783,1.0083156555623134,0.7290947555951156,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260716,26943,659,10994,temporal_outer,interaction,0.7408996155444514,0.858650904941009,0.5389342592318402,0.5372206910370954,0.18035526316915967,0.008785170919653494,0.01971088292604987,1.009058324705622,0.728797832461092,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260717,26943,659,10994,temporal_outer,interaction,0.7408816991895778,0.8584470466202577,0.5391141479250088,0.5371649160978125,0.18030784506757766,0.00797621597574292,0.02017647930253055,1.0081004603566852,0.7290205248116096,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260718,26943,659,10994,temporal_outer,interaction,0.7407929983350428,0.8583140403999707,0.5397413423170325,0.5372535131371616,0.1803258829575971,0.00997203582565035,0.020246034460271543,1.0103619967736004,0.7297257172549158,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260719,26943,659,10994,temporal_outer,interaction,0.7406562290533494,0.8582841340970574,0.5390997605173523,0.537357853323825,0.18037908907740632,0.008222898556839383,0.02080751726419288,1.0092214928276182,0.7290205248116097,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260720,26943,659,10994,temporal_outer,interaction,0.7409209681344162,0.8582384779890005,0.5394027901450374,0.537230371542329,0.18029612032568254,0.008678636292523694,0.019965037928957326,1.0093998566500237,0.7297628326466687,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260721,26943,659,10994,temporal_outer,interaction,0.7407509344129346,0.85837660101722,0.5389335788453429,0.5372554211669562,0.18033747376055176,0.007873946280855134,0.017923622619749426,1.0124617986070956,0.7299855249971865,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,20260722,26943,659,10994,temporal_outer,interaction,0.740599940866851,0.8584493046178914,0.5393027936602385,0.5372753983515444,0.18037914423663082,0.008649259086812936,0.020290673041679596,1.0075534138497342,0.728797832461092,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260713,26943,659,10994,temporal_outer,interaction,0.7411412952533742,0.8587494428395516,0.5387858641674416,0.5369506197984328,0.18023396348581194,0.008297880951886914,-0.004562538386849817,1.023430000434742,0.728760717069339,
