model,group,columns,repeat,ROC_AUC_drop,split,model_hash,interpretation
HGB100,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",0,0.010669771836078423,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",1,0.010711215182118816,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",2,0.010450226461586887,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",3,0.011145414350861249,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",4,0.011409125729376912,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,elo,"[""elo_student_ability"", ""elo_probability""]",0,0.029827825362824134,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,elo,"[""elo_student_ability"", ""elo_probability""]",1,0.030833477462629877,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,elo,"[""elo_student_ability"", ""elo_probability""]",2,0.02831645981609654,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,elo,"[""elo_student_ability"", ""elo_probability""]",3,0.030378061606636253,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,elo,"[""elo_student_ability"", ""elo_probability""]",4,0.030139011768030688,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
