slice,scenario,model,N,students,questions,prediction_kind,weighting,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
unseen_question,no_feedback,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.0270838659530593,0.3254788516668281,0.6560319122488043,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5741716778975494,0.7889673554265149,0.3402873446076553,0.5772893216540027,0.195129319445785,0.04312024457489043,0.3890395731603246,0.5846760266290775,0.7267448630216221,
unseen_question,no_feedback,HGB100,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.19177309818803104,0.015950726304378406,0.37132000156077993,0.6578695761175798,0.7274784330363501,
unseen_question,no_feedback,HGB100,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5751412660865514,0.7879150848521761,0.3376565111825589,0.5782962349322989,0.19558829864744376,0.04185940794036945,0.43855367746659624,0.5725461607389082,0.723734158401588,
unseen_question,no_feedback,HGB80,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.37572159010180384,0.656673479445961,0.7259227831989862,
unseen_question,no_feedback,HGB80,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5753916558136337,0.7882805837206359,0.3379369455605262,0.5781536900320003,0.19555666645637526,0.03824045149815096,0.43676396592126016,0.5770484834222918,0.7224071086254983,
unseen_question,outcome_free,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5959896497142625,0.8035297809184176,0.3321871902799827,0.5685263983099783,0.1914660063858439,0.023675994062584995,0.3258192520319526,0.6710011287285013,0.7269127421863996,
unseen_question,outcome_free,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5787704187760843,0.7910685811487949,0.34355285573105343,0.5761704185499472,0.19472051293053336,0.03622508628732039,0.3822546042936155,0.6042164469668885,0.725267758147176,
unseen_question,outcome_free,HGB100,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5968466060929987,0.8029802850099406,0.3320305685482435,0.5692317770980284,0.19170065807900433,0.02160774886992962,0.3785259091185141,0.6675117116505328,0.7274784330363501,
unseen_question,outcome_free,HGB100,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5825887590788013,0.7920031732848183,0.34287136291480724,0.5773056220920216,0.19517559120065248,0.03055847416751948,0.43258827753039886,0.5932040336156292,0.7254738596981578,
unseen_question,outcome_free,HGB80,7071,677,2600,mean_frozen_object_probabilities,interaction,0.5962528779344655,0.8026097639582987,0.3310494587112008,0.5694174573695543,0.19179887648370475,0.023110484546320646,0.3829716198224426,0.6696221944281496,0.7260642059114738,
unseen_question,outcome_free,HGB80,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.5810739538375388,0.7909348189751215,0.34125931728798575,0.5773797999908872,0.19524179176288411,0.03250312875536592,0.4347244751380153,0.5963482873184681,0.7228994769169803,
