Model,Split,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Precision,Recall,Specificity,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,MCE,FPR,FNR,Calibration_Slope,Calibration_Intercept,Confusion_Matrix,History_Cap,Family
Compact entity-token Transformer proxy,stress_short_history,271,0.7269372693726938,0.6675206815656254,0.6742365172189733,0.7192013791482943,0.7727272727272727,0.8406593406593407,0.4943820224719101,0.7615755031485368,0.8653969310142873,0.3546786927256334,0.3511712178076872,0.5395943287503269,0.1810169509733426,0.0801886791892597,0.5445842146873474,0.5056179775280899,0.1593406593406593,0.835805149919347,0.0362781259756325,"[[44,45],[29,153]]",10,Deep Tabular
Deeper entity-token Transformer proxy,stress_short_history,271,0.7343173431734318,0.6586615631559452,0.6681632653061225,0.7190089615181866,0.7619047619047619,0.8791208791208791,0.4382022471910112,0.7597851586615632,0.8654782259953689,0.3568271217111863,0.3450590762620837,0.5376130626814086,0.1811031713404209,0.0427164727911298,0.4081192811330159,0.5617977528089888,0.1208791208791208,0.9708806267957324,-0.0096771702774184,"[[39,50],[22,160]]",10,Deep Tabular
Decision Tree,stress_short_history,271,0.6568265682656826,0.6756080997654031,0.6457117955494328,0.6672466676871669,0.8248175182481752,0.6208791208791209,0.7303370786516854,0.7557414495616742,0.8644649740012098,0.3299077772216569,0.31103578360351,0.5962926345262685,0.2053122355632697,0.1487337959804432,0.8958427394628219,0.2696629213483146,0.3791208791208791,1.0039754619378014,0.7701698940584712,"[[65,24],[69,113]]",10,Classical ML
Naive Bayes,stress_short_history,271,0.7380073800738007,0.6872453389307323,0.6927584830339322,0.7332214390407378,0.7875647668393783,0.8351648351648352,0.5393258426966292,0.7548771453265836,0.8407136886257222,0.3884595053450509,0.3867019411595959,1.749505998138132,0.2324200192865591,0.2297424571621932,0.6343650943886596,0.4606741573033708,0.1648351648351648,0.1167154559142947,0.2485314747254041,"[[48,41],[30,152]]",10,Classical ML
Rasch-style logit baseline,stress_short_history,271,0.6789667896678967,0.5399432028645512,0.5071800338621684,0.607031085674248,0.6907630522088354,0.945054945054945,0.1348314606741573,0.7463884430176566,0.8663867090181396,0.1373702109166711,0.0989107586470474,0.5660884865578224,0.1946168459453675,0.0888320010746537,0.2354750335216522,0.8651685393258427,0.0549450549450549,1.057527569847102,-0.4645125619858369,"[[12,77],[10,172]]",10,Psychometric
Student-Question Backoff Mean,stress_short_history,271,0.6863468634686347,0.5483084331398937,0.5185092284860267,0.6160648538196676,0.6947791164658634,0.9505494505494504,0.146067415730337,0.7428694900605013,0.859243415591602,0.1661393972833,0.1196254538505636,0.5706103491636346,0.1937293647093331,0.0792394804631945,0.6441137711207072,0.8539325842696629,0.0494505494505494,2.0126186718371177,-0.5500918584013474,"[[13,76],[9,173]]",10,Simple
2PL-inspired smoothed baseline,stress_short_history,271,0.6789667896678967,0.5399432028645512,0.5071800338621684,0.607031085674248,0.6907630522088354,0.945054945054945,0.1348314606741573,0.7370045684652426,0.8525325871193021,0.1373702109166711,0.0989107586470474,0.5871702600082606,0.2000949332356333,0.1121229454998392,0.3132813583987862,0.8651685393258427,0.0549450549450549,0.8032629567786623,-0.3475755814170383,"[[12,77],[10,172]]",10,Psychometric
DeepFM-style proxy,stress_short_history,271,0.7011070110701108,0.6080997654031361,0.6117684512123945,0.6756798824952223,0.730593607305936,0.8791208791208791,0.3370786516853932,0.7253364612915174,0.8454899028977994,0.2578467817239789,0.2418925919530306,0.5756235508511671,0.1956212253212453,0.0918386249744584,0.7420409023761749,0.6629213483146067,0.1208791208791208,0.7161685324951834,-0.0291037899049124,"[[30,59],[22,160]]",10,Collaborative Deep
Elo Rating,stress_short_history,271,0.6863468634686347,0.6028522039757995,0.6066226070324641,0.6673960156272499,0.7298578199052133,0.8461538461538461,0.3595505617977528,0.718298555377207,0.8431578467020534,0.2326791360544253,0.224384659416142,0.6196413369680034,0.2144038161252839,0.1226950822831079,0.7118233144283295,0.6404494382022472,0.1538461538461538,2.616152890223702,0.2408948375134683,"[[32,57],[28,154]]",10,Psychometric
Student Historical Mean,stress_short_history,271,0.6605166051660517,0.5549141869366588,0.5484642132715155,0.625655861021085,0.7008928571428571,0.8626373626373627,0.247191011235955,0.6979565378441784,0.8255033537865967,0.1362298607298243,0.1248859248859249,0.585822012578246,0.2060885593516445,0.1051661842663806,0.299999988079071,0.7528089887640449,0.1373626373626373,0.4330183612716105,0.1975305093629865,"[[22,67],[25,157]]",10,Simple
Fixed-parameter BKT proxy,stress_short_history,271,0.6236162361623616,0.6594949993826398,0.6179511278195489,0.6339164331492939,0.8278688524590164,0.554945054945055,0.7640449438202247,0.6949314730213607,0.8115257267485932,0.3011166115543932,0.2721192331999158,0.7722267061820145,0.2543098140106701,0.2287697708820663,0.4859438687562942,0.2359550561797752,0.445054945054945,0.2880239709938243,0.6496474128106868,"[[68,21],[81,101]]",10,Psychometric
PFA-style logistic baseline,stress_short_history,271,0.6752767527675276,0.5257130509939498,0.4764664559185107,0.5871811721278435,0.68359375,0.9615384615384616,0.0898876404494382,0.6857945425361156,0.8018357303796119,0.1056206149927069,0.0652974837344202,0.5976944987394828,0.2056601102982488,0.088937694641012,0.8380256254337507,0.9101123595505618,0.0384615384615384,1.3251620005605098,-0.1125394543288086,"[[8,81],[7,175]]",10,Psychometric
Question Historical Mean,stress_short_history,271,0.6974169741697417,0.5594209161624892,0.5323653198653199,0.627705716451104,0.7,0.9615384615384616,0.1573033707865168,0.6689097419434499,0.7972654410757016,0.2087470682887756,0.1476679963178889,0.6018449699206768,0.2068116165034775,0.0667603460185202,0.3832811266183853,0.8426966292134831,0.0384615384615384,1.4220150433082055,-0.1062353294604637,"[[14,75],[7,175]]",10,Simple
Static key-value attention proxy,stress_short_history,271,0.6494464944649446,0.5552846030374121,0.5527664379397204,0.6241255272797669,0.7023255813953488,0.8296703296703297,0.2808988764044944,0.6568712186689715,0.7881383114367936,0.1282483082854269,0.1221400075016196,0.6111549829008583,0.2101529390466659,0.0723949341701405,0.3643982575999365,0.7191011235955056,0.1703296703296703,0.6188034335042949,0.3034499751942675,"[[25,64],[31,151]]",10,Knowledge Tracing
DKT-inspired GRU proxy,stress_short_history,271,0.6863468634686347,0.5999814791949624,0.6032894170326358,0.665582501859635,0.7276995305164319,0.8516483516483516,0.348314606741573,0.6400172860847019,0.769714375045329,0.2289688759925711,0.21949649307085,0.6071056663139343,0.2089696077920915,0.052868655247002,0.2343119084835052,0.651685393258427,0.1483516483516483,0.7844175944364535,0.2666205094880347,"[[31,58],[27,155]]",10,Knowledge Tracing
Compact Transformer KT proxy,stress_short_history,271,0.6531365313653137,0.5465489566613162,0.5386482179078528,0.6175179449563258,0.6964285714285714,0.8571428571428571,0.2359550561797752,0.5990245709346833,0.7368896636195407,0.1154775885219646,0.1058617058617059,0.629905164820096,0.2186832678705835,0.0690698622557509,0.2965380880567762,0.7640449438202247,0.1428571428571428,0.5375336085574755,0.3667046084927648,"[[21,68],[26,156]]",10,Knowledge Tracing
Time-aware SAKT proxy,stress_short_history,271,0.6309963099630996,0.5386776145203112,0.5352586088626698,0.6076456511581168,0.6933962264150944,0.8076923076923077,0.2696629213483146,0.5724163476972466,0.7444785878069712,0.0880291356123262,0.0846450043910018,0.6480962313354882,0.2280163374233026,0.0971005351121135,0.4373572692275047,0.7303370786516854,0.1923076923076923,0.36984917722078,0.4864943256922381,"[[24,65],[35,147]]",10,Knowledge Tracing
