model,seed,fold,route,N,route_fraction,support_median,support_min,support_max,clipped_fraction,mean_abs_correction,shrinkage_lambda
Ablation_no_question,20260714,2,subject,26984,0.9974863226378826,277.0,1,2592,0.006855914616068781,0.05127833550222063,100.0
Ablation_no_question,20260714,2,zero,46,0.0017004288037853023,0.0,0,0,0.0,0.0,0.0
Ablation_no_subject,20260714,2,parent,8194,0.3028981221351471,984.0,9,7782,0.0,0.04883422240535226,100.0
Ablation_no_subject,20260714,2,question,18812,0.6954014490610676,3.0,1,37,0.013129917074207952,0.12953426045466052,5.0
Ablation_no_subject,20260714,2,zero,46,0.0017004288037853023,0.0,0,0,0.0,0.0,0.0
AdaptiveMath-AI,20260714,3,parent,4,0.00017898693395382138,4104.0,1386,4104,0.0,0.04731884342591336,200.0
AdaptiveMath-AI,20260714,3,question,16204,0.7250760694469304,4.0,1,37,0.018884226117008147,0.1393081605604032,5.0
AdaptiveMath-AI,20260714,3,subject,6127,0.27416323608376586,238.0,1,2113,0.0,0.028817463776963995,200.0
AdaptiveMath-AI,20260714,3,zero,13,0.0005817075353499194,0.0,0,0,0.0,0.0,0.0
Plus_question_memory,20260714,3,question,16204,0.7250760694469304,4.0,1,37,0.018884226117008147,0.1393081605604032,5.0
Plus_question_memory,20260714,3,zero,6144,0.27492393055306963,0.0,0,0,0.0,0.0,0.0
Plus_hierarchy,20260714,3,parent,4,0.00017898693395382138,4104.0,1386,4104,0.0,0.04731884342591336,200.0
Plus_hierarchy,20260714,3,question,16204,0.7250760694469304,4.0,1,37,0.018884226117008147,0.1393081605604032,5.0
Plus_hierarchy,20260714,3,subject,6127,0.27416323608376586,238.0,1,2113,0.0,0.028817463776963995,200.0
Plus_hierarchy,20260714,3,zero,13,0.0005817075353499194,0.0,0,0,0.0,0.0,0.0
No_calibration,20260714,3,parent,4,0.00017898693395382138,4104.0,1386,4104,0.0,0.04731884342591336,200.0
No_calibration,20260714,3,question,16204,0.7250760694469304,4.0,1,37,0.018884226117008147,0.1393081605604032,5.0
No_calibration,20260714,3,subject,6127,0.27416323608376586,238.0,1,2113,0.0,0.028817463776963995,200.0
No_calibration,20260714,3,zero,13,0.0005817075353499194,0.0,0,0,0.0,0.0,0.0
Ablation_no_question,20260714,3,parent,4,0.00017898693395382138,4104.0,1386,4104,0.0,0.04731884342591336,200.0
Ablation_no_question,20260714,3,subject,22331,0.9992393055306963,307.0,1,2113,0.0,0.03369765292078814,200.0
