model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,support_bin,"(49.0, inf]",37036,1493,12077,0.6752349065773842,estimable,0.751444723920623,0.8598403856632287,0.576736160570201,0.5387697839040211,0.18190778543785657,0.008137962431189617,0.011343339338829403,0.9914158885348532,0.7239712711956493,
HGB100,support_bin,"(49.0, inf]",37036,1493,12077,0.6752349065773842,estimable,0.7519814676930454,0.8606321779115118,0.5755111130106286,0.5383223034279528,0.18182013962689111,0.007970187757668735,0.02175680206851915,0.9870650101685563,0.7233502538071623,
AdaptiveMath-AI,support_bin,"(9.0, 19.0]",11683,1149,2263,0.6473508516648121,estimable,0.7762720654591541,0.8619150610462989,0.6281858435805145,0.5346103314947486,0.1801002098033343,0.018075524818953154,-0.05150116449196955,1.0638050783537725,0.7292647436446159,
HGB100,support_bin,"(9.0, 19.0]",11683,1149,2263,0.6473508516648121,estimable,0.7645407861984707,0.8533395737817615,0.6136317990056476,0.544005215150188,0.18392915653596661,0.010592416821668343,-0.03522133207514139,1.0167434665996826,0.7234443208080157,
AdaptiveMath-AI,known_initial_prefix_question,False,7071,677,2600,0.7353981049356527,estimable,0.6918114541791722,0.858203608187305,0.42972940879759924,0.532525136937154,0.17797896896660195,0.02124677929996458,0.1800683754593186,0.8906563922868417,0.739640786310286,
HGB100,known_initial_prefix_question,False,7071,677,2600,0.7353981049356527,estimable,0.689517997368746,0.8564294870093705,0.4231089862910955,0.534196586858637,0.17862091086326248,0.020434126777574214,0.19959546419693266,0.8710116211074272,0.7372366001979963,
AdaptiveMath-AI,known_initial_prefix_question,True,136494,1661,18642,0.6429293595322871,estimable,0.7659314280359467,0.8537841499165524,0.6159327793207463,0.5449786104480211,0.18458784526849542,0.007952875370397712,-0.024540705454701037,1.0327142193414445,0.7184491626003507,
HGB100,known_initial_prefix_question,True,136494,1661,18642,0.6429293595322871,estimable,0.7616710757403086,0.8510123275339101,0.6105342221416233,0.5482445445211396,0.18599942812434606,0.006120736788794361,-0.017608193069999285,1.0119918308017262,0.716317200755876,
AdaptiveMath-AI,known_initial_prefix_student,False,55792,660,16136,0.6647548035560654,estimable,0.7562581185658819,0.8580199086986691,0.5846346835267286,0.5420769918506632,0.18330566167332119,0.00979839614620807,-0.026479462152465702,1.058135235711628,0.7210890450243326,
HGB100,known_initial_prefix_student,False,55792,660,16136,0.6647548035560654,estimable,0.7512449128287222,0.8547681168378257,0.5782039764064332,0.5456132290156324,0.1848057041886105,0.0071798770178145436,-0.011454252631502035,1.030055281605644,0.7181137080584595,
AdaptiveMath-AI,known_initial_prefix_student,True,87773,1003,17572,0.6365055313137298,estimable,0.7681975452990668,0.8518778414222486,0.6248826453389236,0.5458197414745126,0.18487044040380196,0.005271333175494046,-0.017310449342630506,1.0142007725273507,0.7184783475555486,
HGB100,known_initial_prefix_student,True,87773,1003,17572,0.6365055313137298,estimable,0.7644499467580037,0.8495182006586766,0.619935628578389,0.5487854084092549,0.18616379245357578,0.004865355112940492,-0.013596404518353039,0.9974474238839445,0.7168605379785724,
AdaptiveMath-AI,known_outer_fit_question,False,5327,676,3262,0.7392528627745447,estimable,0.7043722332583975,0.8655660937479492,0.44533961252064663,0.5228252765338065,0.17399402385291532,0.02401177325577065,0.1892545441258917,0.9029937270183253,0.7460108879294147,
HGB100,known_outer_fit_question,False,5327,676,3262,0.7392528627745447,estimable,0.7038512896621738,0.8655139953106803,0.44147856415159614,0.5233268459320117,0.17413900847369507,0.02748085822640296,0.1952608640029809,0.8998930857533137,0.7450722733245714,
