scenario,model,seed,N,design,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
without_SVD,Ablation_no_question,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7597586362608688,0.8512884339545721,0.605006501285344,0.5480897757004948,0.18575705107778728,0.008301963895658316,-0.04352631791517892,1.0135803501298246,0.716525615574627,
first_y_EWM,AdaptiveMath-AI,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7625144270907105,0.8533686431611596,0.6081042425748824,0.5458781008009855,0.18485256351249685,0.0071371469747647,-0.031873823591884703,1.0265845605879316,0.7181625047885704,
first_y_EWM,Converged_item_intercept,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7624867948277144,0.8533872674810378,0.608029458827276,0.5458796301298354,0.18485017128185668,0.006633828621335372,-0.02096512035046084,1.0308617908623179,0.7180510570123018,
first_y_EWM,HGB100,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7595557242148085,0.8513265602186955,0.6065848810606272,0.5479543396416614,0.18575584553955454,0.004881645218938282,-0.026496239755905756,1.013359323874387,0.7165465120326773,
first_y_EWM,HGB80,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7596199593658468,0.8514083346691002,0.6065049267284787,0.5479181971018319,0.18573883765085633,0.005023577560755428,-0.02900198631282925,1.0195558654567456,0.7163584439102243,
first_y_EWM,HGB80_anchor,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7587768927904406,0.8507779692108913,0.6039064958634665,0.5487771116965181,0.18603851829063897,0.004276005067513532,-0.008355800241686886,1.017709515260652,0.7160728589835363,
first_y_EWM,No_calibration,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7625144270907105,0.8533686431611596,0.6081042425748824,0.5458781008009855,0.18485256351249685,0.0071371469747647,-0.031873823591884703,1.0265845605879316,0.7181625047885704,
first_y_EWM,Plus_hierarchy,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7625144270907105,0.8533686431611596,0.6081042425748824,0.5458781008009855,0.18485256351249685,0.0071371469747647,-0.031873823591884703,1.0265845605879316,0.7181625047885704,
first_y_EWM,Plus_question_memory,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7624877781603321,0.8533860640529135,0.6080314589386561,0.5458791166064243,0.1848495172036651,0.006625197047087912,-0.020786079280908698,1.030890234485134,0.7180301605542515,
legacy_AnswerId_ties,Ablation_no_question,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7684295610380696,0.8576662030117809,0.6154361542346716,0.5407710041859364,0.18283956674807247,0.007326908846691338,-0.039040098108517565,1.0076033794385026,0.7219586946677155,
legacy_AnswerId_ties,Ablation_no_subject,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.771391096787683,0.8596876894799307,0.6185935279363899,0.5382952229070621,0.18182484650670405,0.006545774168731026,-0.0329649042518212,1.016455340444522,0.7240065475566487,
legacy_AnswerId_ties,AdaptiveMath-AI,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7714875528746998,0.8597710010418651,0.6186592160959373,0.5381934914645596,0.18178056579343801,0.006362235328979408,-0.028305285822289212,1.0190352705457428,0.7242921324833367,
legacy_AnswerId_ties,Converged_item_intercept,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7714659694039574,0.8597733792169329,0.6187124042791099,0.538187308018512,0.18177733537259422,0.0053953345201028695,-0.017997573340484803,1.0227466579927442,0.7240762024168166,
legacy_AnswerId_ties,HGB100,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7683626088620599,0.8576185133343435,0.615288529058736,0.5406466716241269,0.1828177331260232,0.005438969826974666,-0.01860960121221924,1.0037056554012829,0.721498972590608,
legacy_AnswerId_ties,HGB80,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7683221846660917,0.8576151751135082,0.6154339829437054,0.5406585273560298,0.18282137419193528,0.0048403220917382275,-0.019784618447533722,1.007473522776329,0.7216173858528931,
legacy_AnswerId_ties,HGB80_anchor,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.767990824212305,0.857331165557256,0.6153290934475025,0.5410187402157669,0.18293848861959028,0.0035239173996557383,-0.00679587426601325,1.0104365005686202,0.7214153867584066,
legacy_AnswerId_ties,No_calibration,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7714875528746998,0.8597710010418651,0.6186592160959373,0.5381934914645596,0.18178056579343801,0.006362235328979408,-0.028305285822289212,1.0190352705457428,0.7242921324833367,
legacy_AnswerId_ties,Plus_hierarchy,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7714875528746998,0.8597710010418651,0.6186592160959373,0.5381934914645596,0.18178056579343801,0.006362235328979408,-0.028305285822289212,1.0190352705457428,0.7242921324833367,
legacy_AnswerId_ties,Plus_question_memory,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7714665112359594,0.8597720607762276,0.618715564312719,0.5381869548455511,0.18177678821278886,0.00540147195607139,-0.017823735445423372,1.0227685321229205,0.7241040643608837,
alternate_hash_cohort,Ablation_no_question,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7537157374054886,0.8386639960717122,0.6088227917616891,0.5590751499717628,0.18995266274924483,0.006872314743720008,-0.03043021308261528,1.0119465801751406,0.7089217048500793,
alternate_hash_cohort,Ablation_no_subject,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7567104351305958,0.8409201243500094,0.612633998651442,0.5567235963989671,0.1889762924758707,0.00786102560160759,-0.032544118664325716,1.020184971712061,0.7109897566806276,
alternate_hash_cohort,AdaptiveMath-AI,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7568087638736049,0.8410669094655383,0.6126231159655916,0.5566351881053151,0.188947428055842,0.0076851869172365325,-0.03057672848592263,1.0227133994673616,0.7110479206383618,
alternate_hash_cohort,Converged_item_intercept,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7565882736644881,0.840888640805632,0.6125174531100656,0.5568128443874845,0.18901959138467989,0.007536928103404231,-0.029222035968220244,1.0234976590091058,0.7106278476102816,
alternate_hash_cohort,HGB100,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7533894155340154,0.8387559109644747,0.6085680962551625,0.5591018234696277,0.19004396847694086,0.004614528760842341,-0.020952971532140346,1.0063700252005965,0.7090057194556953,
alternate_hash_cohort,HGB80,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7534292419316645,0.8387595728935273,0.6088711555439116,0.559073307829445,0.1900253943084908,0.004854010866625041,-0.023557849932710456,1.0120729036427611,0.7092319126246616,
alternate_hash_cohort,HGB80_anchor,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.752935859430812,0.8380442121748669,0.6084384261013298,0.5596462400111,0.1901869088488274,0.0059177380014389545,-0.02496549566156668,1.0125961501363605,0.7082043493713579,
alternate_hash_cohort,No_calibration,20260713,154735,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7568087638736049,0.8410669094655383,0.6126231159655916,0.5566351881053151,0.188947428055842,0.0076851869172365325,-0.03057672848592263,1.0227133994673616,0.7110479206383618,
