contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,slice_or_scenario,comparison,N,inference_scope
unseen_q_learner_feedback,crossed,ECE15,-0.0010143620774507416,-0.011251712549922296,0.011171089411702202,5000,5000,0,2720,2280,0.9122175564887023,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.016806839050393697,0.042307542520229086,0.016855018829449286,0.04354887690788564,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,student,ROC_AUC,0.001766023927969429,-0.009844380605878295,0.013281790666500131,5000,5000,0,1890,3110,0.75624875024995,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5699389036105937,0.618129804312011,0.5683525941294623,0.6160873531865466,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,student,Log_Loss,-0.000288384290981214,-0.002762686016378896,0.0022554199335118566,5000,5000,0,2962,2038,0.8154369126174765,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5460474448117122,0.5923130730361412,0.5478967884802962,0.5911038240704731,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,student,Brier,-8.481704452634187e-05,-0.0010200500761785149,0.0008808351564840475,5000,5000,0,2838,2162,0.8650269946010798,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18161186266984797,0.2019108997351795,0.1822212306061945,0.20134696046022715,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,student,ECE15,0.011133139648680696,-0.014121536634193589,0.018331725931933805,5000,5000,0,1308,3692,0.523495300939812,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.015970298636403476,0.04805233352438242,0.014518253005921484,0.03817291468563661,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,question,ROC_AUC,0.001766023927969429,-0.007258525269749264,0.01078671836307534,5000,5000,0,1737,3263,0.6950609878024395,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5786455120322624,0.6096436376678314,0.5769746604478856,0.607397929484774,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,question,Log_Loss,-0.000288384290981214,-0.0019666847441792423,0.001361289052596267,5000,5000,0,3157,1843,0.7374525094981004,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5556056257465902,0.5824559582954072,0.5568507204505733,0.5818445676597803,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,question,Brier,-8.481704452634187e-05,-0.0007336739488727866,0.0005519833437713115,5000,5000,0,3023,1977,0.7910417916416717,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18577482158144096,0.19741379856731484,0.1862627906213551,0.19725737214862313,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,question,ECE15,0.011133139648680696,-0.0071456174004066765,0.016935862477106486,5000,5000,0,642,4358,0.2571485702859428,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.018975752897281806,0.03924305465403557,0.0145762446555776,0.029877395753730454,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,crossed,ROC_AUC,0.001766023927969429,-0.01625725313515238,0.019274495075257147,5000,5000,0,2082,2918,0.8330333933213357,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5617155169454725,0.6267136875977474,0.5604474207735122,0.6243849484054388,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,crossed,Log_Loss,-0.000288384290981214,-0.003791022480463846,0.003206474150605862,5000,5000,0,2869,2131,0.852629474105179,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5394585377617758,0.5975363213110035,0.5416775632625449,0.5956528896534196,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,crossed,Brier,-8.481704452634187e-05,-0.0014326311557784368,0.0012477601568442608,5000,5000,0,2780,2220,0.8882223555288942,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.17860473249599393,0.2041796566153559,0.17961461363617956,0.20355876851220903,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_no_feedback,crossed,ECE15,0.011133139648680696,-0.0164888364629275,0.02024694307568889,5000,5000,0,1647,3353,0.6590681863627275,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.01738783671468934,0.05458158175678044,0.01602801893534975,0.046834639552463794,no_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,student,ROC_AUC,-0.0008569563787361734,-0.013140326488940715,0.011241043693904273,5000,5000,0,2764,2236,0.8946210757848431,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5725915535785592,0.6196417864570424,0.5735864309381291,0.6207151782897901,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,student,Log_Loss,-0.000705378788045441,-0.0031349176605835194,0.0017904559002337888,5000,5000,0,3539,1461,0.5846830633873226,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5461128115705363,0.591000793926646,0.5482358157962669,0.5903949936721535,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,student,Brier,-0.00023465169316352896,-0.0011753100182493044,0.0007285527652980274,5000,5000,0,3407,1593,0.6374725054989002,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18157044008383658,0.20141453187132427,0.1823106581551456,0.2010383590670073,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,student,ECE15,0.002068245192655315,-0.015356236082038168,0.016838133948013173,5000,5000,0,2412,2588,0.9650069986002799,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.015888040734714573,0.044129854304652105,0.015817339282645036,0.040889042657924805,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,question,ROC_AUC,-0.0008569563787361734,-0.009399346643987904,0.007542434693123855,5000,5000,0,2915,2085,0.8342331533693261,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5808373853475345,0.6113524240267737,0.5819010853226874,0.6121409182680834,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,question,Log_Loss,-0.000705378788045441,-0.002467704846214949,0.001015322046847137,5000,5000,0,3941,1059,0.42391521695660866,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5553189780065245,0.5816189690264725,0.5568858664169927,0.581393637593911,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,question,Brier,-0.00023465169316352896,-0.0009278937611791035,0.00043919422962939494,5000,5000,0,3753,1247,0.4991001799640072,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18564951261755655,0.19712219441968523,0.1862168663921499,0.19706365133768716,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,question,ECE15,0.002068245192655315,-0.012757515053263672,0.01313325696460695,5000,5000,0,2363,2637,0.9454109178164367,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.016468008784269763,0.03566845131096652,0.016687961328967618,0.03436312918458903,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,crossed,ROC_AUC,-0.0008569563787361734,-0.01866817869098409,0.016632130142755348,5000,5000,0,2653,2347,0.9390121975604879,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5645607146235314,0.628573149174725,0.56531357343593,0.6287103813237889,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,crossed,Log_Loss,-0.000705378788045441,-0.004175717453362762,0.002729740602336685,5000,5000,0,3327,1673,0.6694661067786443,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5395659234849289,0.59619935063133,0.5421632520979385,0.5948107036133666,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,crossed,Brier,-0.00023465169316352896,-0.001594472515534559,0.00111331074861885,5000,5000,0,3213,1787,0.7150569886022795,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.17866135554424215,0.20361579053764653,0.17972171336923143,0.20312267057252967,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_outcome_free,crossed,ECE15,0.002068245192655315,-0.01801430034207249,0.018254274508713378,5000,5000,0,2501,2499,0.9998000399920016,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.017063938621827354,0.05041048944067849,0.017271691331250828,0.04985089356266939,outcome_free,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_feedback_vs_outcome_free,student,ROC_AUC,0.09430353985939233,0.07309206766141177,0.11451110937238332,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6681968889958502,0.7115153651188352,0.5725915535785592,0.6196417864570424,outcome_free,learner_feedback - outcome_free,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_feedback_vs_outcome_free,student,Log_Loss,-0.03572812300155881,-0.044817993856873566,-0.02681742316475912,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5089810902812826,0.5564461089610729,0.5461128115705363,0.591000793926646,outcome_free,learner_feedback - outcome_free,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_feedback_vs_outcome_free,student,Brier,-0.013388166008650837,-0.01686329486598481,-0.010016852811850219,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.16822134670716704,0.18784369493359732,0.18157044008383658,0.20141453187132427,outcome_free,learner_feedback - outcome_free,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
