model,scenario,prediction_kind,weighting,N,students,questions,prevalence,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
HGB80,history_cap_1,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6546251870195527,0.7859209311233437,0.472917132514403,0.5954862684452464,0.20386011908079318,0.03375258331254487,-0.2860947424379766,1.2267844517531497,0.6953592814371268,
HGB80,history_cap_1,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6546251870195527,0.7859209311233437,0.472917132514403,0.5954862684452464,0.20386011908079318,0.03375258331254487,-0.2860947424379766,1.2267844517531497,0.6953592814371268,
AdaptiveMath-AI,history_cap_10,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7128746840014442,0.8397469764112615,0.5238576159014624,0.5623098404657815,0.1912727087238177,0.03333477724908415,0.05956880487268857,1.0216045060239465,0.7050898203592826,
AdaptiveMath-AI,history_cap_10,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7128746840014442,0.8397469764112615,0.5238576159014624,0.5623098404657815,0.1912727087238177,0.03333477724908415,0.05956880487268857,1.0216045060239465,0.7050898203592826,
HGB100,history_cap_10,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7032218954754162,0.8327623551895625,0.5054856855464999,0.5685643822716944,0.1941049865656528,0.033017539130753636,0.11292820158904981,0.9356457143077072,0.6908682634730549,
HGB100,history_cap_10,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7032218954754162,0.8327623551895625,0.5054856855464999,0.5685643822716944,0.1941049865656528,0.033017539130753636,0.11292820158904981,0.9356457143077072,0.6908682634730549,
HGB80,history_cap_10,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7027691791776295,0.8326609698003216,0.5030063340637762,0.5688951995799634,0.1942698409951397,0.028332143859763608,0.10891325503713503,0.9380410144177448,0.6916167664670668,
HGB80,history_cap_10,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7027691791776295,0.8326609698003216,0.5030063340637762,0.5688951995799634,0.1942698409951397,0.028332143859763608,0.10891325503713503,0.9380410144177448,0.6916167664670668,
AdaptiveMath-AI,history_cap_20,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7273977196512404,0.8501127527169543,0.5475711133692356,0.5529433577591663,0.18738140959161023,0.027485843226539245,0.03422149360476653,1.0431521763777787,0.7155688622754504,
AdaptiveMath-AI,history_cap_20,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7273977196512404,0.8501127527169543,0.5475711133692356,0.5529433577591663,0.18738140959161023,0.027485843226539245,0.03422149360476653,1.0431521763777787,0.7155688622754504,
HGB100,history_cap_20,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7251895991332606,0.8479621712600983,0.5354259918265797,0.5552254315470246,0.18833253069267575,0.027658992409263995,0.06069953726354796,1.0093736594885019,0.7193113772455102,
HGB100,history_cap_20,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7251895991332606,0.8479621712600983,0.5354259918265797,0.5552254315470246,0.18833253069267575,0.027658992409263995,0.06069953726354796,1.0093736594885019,0.7193113772455102,
HGB80,history_cap_20,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7259634731465713,0.8482735995762918,0.5380021364347344,0.5545827989496043,0.1880363513345449,0.03455679823601062,0.05733096582718345,1.0198751189992628,0.7193113772455102,
HGB80,history_cap_20,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7259634731465713,0.8482735995762918,0.5380021364347344,0.5545827989496043,0.1880363513345449,0.03455679823601062,0.05733096582718345,1.0198751189992628,0.7193113772455102,
AdaptiveMath-AI,history_cap_5,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6797038642109059,0.8160883467311664,0.48921103849720954,0.5819396455011807,0.19916717893538546,0.039444979029859384,0.16228892467838432,0.889767137968048,0.6961077844311387,
AdaptiveMath-AI,history_cap_5,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6797038642109059,0.8160883467311664,0.48921103849720954,0.5819396455011807,0.19916717893538546,0.039444979029859384,0.16228892467838432,0.889767137968048,0.6961077844311387,
HGB100,history_cap_5,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6688644688644683,0.8085089745609166,0.46910527551345815,0.5877786968387542,0.201667627822742,0.0409598614288225,0.1837417132139561,0.8359399952407124,0.6878742514970069,
HGB100,history_cap_5,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6688644688644683,0.8085089745609166,0.46910527551345815,0.5877786968387542,0.201667627822742,0.0409598614288225,0.1837417132139561,0.8359399952407124,0.6878742514970069,
HGB80,history_cap_5,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.669127586028994,0.8082823872311252,0.47154641202942826,0.5872323610712904,0.20137521363324482,0.03240095547265002,0.17624514773960717,0.8482648015398093,0.6901197604790429,
HGB80,history_cap_5,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.669127586028994,0.8082823872311252,0.47154641202942826,0.5872323610712904,0.20137521363324482,0.03240095547265002,0.17624514773960717,0.8482648015398093,0.6901197604790429,
AdaptiveMath-AI,history_cap_50,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7309614094825357,0.8473074860066298,0.5498832529491191,0.5517562920973937,0.18651516343051178,0.03717940210231614,0.10042009633990369,0.9407960499593234,0.7140718562874262,
AdaptiveMath-AI,history_cap_50,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7309614094825357,0.8473074860066298,0.5498832529491191,0.5517562920973937,0.18651516343051178,0.03717940210231614,0.10042009633990369,0.9407960499593234,0.7140718562874262,
HGB100,history_cap_50,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7276363308053444,0.8442262199416193,0.542359322774275,0.5545092950848023,0.18746409508047585,0.03571694423099177,0.11514282152712572,0.9258399275485338,0.7170658682634742,
HGB100,history_cap_50,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7276363308053444,0.8442262199416193,0.542359322774275,0.5545092950848023,0.18746409508047585,0.03571694423099177,0.11514282152712572,0.9258399275485338,0.7170658682634742,
HGB80,history_cap_50,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.7287352319042455,0.8449685356867457,0.5448066122435689,0.5536790347247893,0.18710955534731447,0.03039547239044211,0.11031579034660571,0.9365909416688256,0.7170658682634743,
HGB80,history_cap_50,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.7287352319042455,0.8449685356867457,0.5448066122435689,0.5536790347247893,0.18710955534731447,0.03039547239044211,0.11031579034660571,0.9365909416688256,0.7170658682634743,
AdaptiveMath-AI,learner_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7628335998317952,0.8534958906075427,0.6084417803356643,0.545591393986053,0.1847455906692058,0.008018599687413787,-0.033189886477548836,1.0249076255975411,0.7180231950682348,
AdaptiveMath-AI,learner_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7405330370317533,0.8431880416490036,0.5737784645127595,0.5559513664386297,0.1885799140427126,0.006850872978054358,-0.006382001293501157,0.9954747561153257,0.7115640039718112,
HGB100,learner_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7600422789370249,0.8517683368384037,0.6064947055411557,0.5475496044368009,0.18561895039478962,0.006086070837597206,-0.029342825374448323,1.0176474195387974,0.7175565075051105,
