Dimension,Subgroup,N,Students,Correct_Rate,Error_Rate,Error_Rate_Cluster_CI_Lower,Error_Rate_Cluster_CI_Upper,ROC_AUC,ROC_AUC_Cluster_CI_Lower,ROC_AUC_Cluster_CI_Upper,Log_Loss,Brier_Score,Cluster_Unit,Bootstrap_Replicates,Publication_Eligible,Eligibility_Rule
Subject,Best Value,70,41,0.6428571428571429,0.34285714285714286,0.24416247642991828,0.45283755896226413,0.648888888888889,0.4788969798445694,0.7522694753577107,0.6383191785315585,0.22231284711308363,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Block Graphs and Bar Charts,347,125,0.7982708933717579,0.1988472622478386,0.15261413201512067,0.24914704496615758,0.7547705002578649,0.6729496184216861,0.8262372975039717,0.4473338016297441,0.14183631042201608,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Box Plots,210,80,0.6904761904761905,0.2714285714285714,0.207317145220371,0.3366432361468191,0.7779310344827587,0.7092570352194678,0.839667709409605,0.5055396705878706,0.16874592083939924,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Circle Theorems,301,72,0.6677740863787376,0.25249169435215946,0.1927950008832362,0.31615988059287026,0.7751243781094528,0.7051910482052591,0.8392205681105361,0.5303927743343252,0.17701660560758153,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Circumference,250,136,0.62,0.292,0.2301378446115288,0.35837499999999994,0.7526655348047538,0.6748916425772132,0.8159588296313336,0.565812357853735,0.19243731519600135,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Co-ordinate Geometry with Straight Lines,60,56,0.5666666666666667,0.36666666666666664,0.24989754098360656,0.5082036676854682,0.7115384615384616,0.5661526295242577,0.8327117346938774,0.6204148623087963,0.21628392227036713,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Combined Events,333,147,0.4864864864864865,0.3153153153153153,0.26248112416107383,0.37583675775631803,0.7572377445671792,0.6927655947208987,0.810475165438146,0.5859688129152799,0.20152716782105062,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Completing the Square,128,61,0.671875,0.2109375,0.1533306451612903,0.2712002579218865,0.8006644518272426,0.7209444993412385,0.8617852428099952,0.4938535537284013,0.16094552982327875,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Composite Functions,64,35,0.546875,0.375,0.2077803294266709,0.55,0.7605911330049261,0.5688896129756345,0.8736444652908067,0.594637302983569,0.20846094303998666,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Compound Area,243,133,0.5473251028806584,0.2880658436213992,0.23199268292682929,0.34568682606657286,0.770745044429255,0.7033375240048173,0.825779146765089,0.5743859841091736,0.1938995896988764,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Congruency in Other Shapes,57,36,0.7894736842105263,0.3333333333333333,0.18604651162790697,0.4655728587319243,0.6851851851851851,0.47583017676767675,0.859031367481203,0.6009659245660784,0.21005617811017954,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Congruency in Triangles,150,72,0.6666666666666666,0.31333333333333335,0.22141771902131016,0.4195589705147426,0.6822,0.5608585442938127,0.7827119757612976,0.612389545072087,0.2091569472098854,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Construct Angle and Line Bisectors,176,80,0.6022727272727273,0.23295454545454544,0.16770006821527306,0.30575788363096396,0.7943396226415095,0.7121043619573708,0.8654587814235912,0.5310135324167707,0.1792115639088085,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Converting Mixed Number and Improper Fractions,329,134,0.7112462006079028,0.24316109422492402,0.18832517438440205,0.30189611981665065,0.7828609986504723,0.7235218134006827,0.832975089637102,0.4917859436309794,0.16321611869566896,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Converting between Decimals and Percentages,560,242,0.6017857142857143,0.2732142857142857,0.2261283815097186,0.3203648460050116,0.7801492994105202,0.7313138869831534,0.8277007829319912,0.5585136504258419,0.18862445846825707,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Converting between Fractions and Decimals,981,335,0.6269113149847095,0.2599388379204893,0.23045472899274236,0.2906931192400974,0.7999466879914701,0.7670824293908389,0.8303514956946872,0.5207407587530242,0.1746501900413809,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Converting between Fractions and Percentages,477,234,0.6037735849056604,0.27044025157232704,0.22525657894736842,0.31770255811691467,0.7858796296296297,0.7353299589098137,0.8285030554729941,0.5467442628312003,0.18339532073504303,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Counting,80,17,0.7375,0.2375,0.11389285077553932,0.3690806878306878,0.7425343018563358,0.6067623946508428,0.8702110389610389,0.5142296829210975,0.17054961135194713,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Cubics and Reciprocals,63,36,0.5714285714285714,0.2857142857142857,0.1599855072463768,0.42309322033898306,0.7962962962962963,0.6646847507331379,0.8983643671143672,0.5406885469543482,0.18452522281396233,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Cumulative Frequency Diagram,120,62,0.5416666666666666,0.3416666666666667,0.2677137628923145,0.43549421009098427,0.7451748251748253,0.6411330357142858,0.8227240697001234,0.6025034199156323,0.20644979838768532,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Currency Conversions,239,104,0.6108786610878661,0.2594142259414226,0.1936435736606132,0.331710598271902,0.8202975401384592,0.7391080578861422,0.8796170305437598,0.5186488642938933,0.17228842179393178,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Data Collection-Others,63,39,0.5555555555555556,0.4126984126984127,0.29626593806921675,0.5384615384615384,0.6479591836734694,0.5018790584415584,0.7745993589743589,0.6765455780876418,0.24129255368543048,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Density,63,46,0.5714285714285714,0.3492063492063492,0.2537313432835821,0.4655728587319243,0.712962962962963,0.587272509578544,0.832735906862745,0.6018817176050688,0.21054856276024786,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Difference of Two Squares,143,85,0.5874125874125874,0.27972027972027974,0.20987654320987653,0.3609022556390977,0.7572639225181598,0.6798021235521237,0.8302869922847306,0.5797677800380598,0.19744929744353046,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Direct Proportion,976,370,0.6229508196721312,0.27049180327868855,0.2417624603447617,0.29943578833984114,0.7886647239702518,0.7587757295109598,0.8173110522244622,0.5387575098148322,0.17997808156963913,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Distance Between Two Co-ordinates,51,43,0.5098039215686274,0.29411764705882354,0.17647058823529413,0.42,0.803076923076923,0.6711296161895761,0.902779761904762,0.5447477488550635,0.18404512994653516,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Dividing Fractions,479,214,0.5887265135699373,0.2839248434237996,0.24054472766575152,0.32495999404562537,0.7736436620225366,0.7318873515037884,0.814660837576665,0.5666633457344854,0.1909803673929977,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Dividing Terms,106,68,0.6320754716981132,0.3490566037735849,0.2553137212331741,0.43803102798318105,0.7374665135859165,0.6379066148904858,0.8284301944364132,0.5732210587184807,0.19692584047354997,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Enlargement,349,168,0.5243553008595988,0.32951289398280803,0.2762712098601669,0.3879597159588073,0.7364210942129172,0.6785709495721931,0.7920703536766895,0.5974966633410375,0.2069677691941434,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Equation of a Circle,75,25,0.64,0.18666666666666668,0.09833219489981786,0.279078317373461,0.8325617283950616,0.7304183097945708,0.9097912692178207,0.48764686187658174,0.1579147800307415,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Equivalent Fractions,584,201,0.6592465753424658,0.2517123287671233,0.20642079272149333,0.29643534028075624,0.8022580434640736,0.751633398985316,0.8463004806115149,0.5045141872425414,0.1679786326701046,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Estimation,439,142,0.6036446469248291,0.30068337129840544,0.25430339265850943,0.3472281073446328,0.7484276729559748,0.6942770038781231,0.7990386477393657,0.5822636554696619,0.19775224911381384,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Exact Values of Trigonometric Ratios,101,48,0.7722772277227723,0.27722772277227725,0.17497282608695652,0.391304347826087,0.6828316610925307,0.5273339685520695,0.8055771604938272,0.5212768555177394,0.1741922773937341,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Expanding Double Brackets,431,178,0.580046403712297,0.30162412993039445,0.24532864077669903,0.3549063046014128,0.7621878453038673,0.7061361876614856,0.8159244666958807,0.5726583765791184,0.19610061634501616,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Expanding Single Brackets,382,149,0.6989528795811518,0.23036649214659685,0.1826011190115398,0.2802613384955752,0.7956684579058786,0.7342871946816509,0.8516873141717436,0.48805322419376107,0.16010776021979517,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Expanding Triple Brackets and more,68,47,0.5735294117647058,0.23529411764705882,0.140625,0.3230769230769231,0.8496905393457118,0.7404706457363004,0.9421412037037037,0.5043745653265531,0.1686612417340105,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Experimental Probability and Relative Frequency,243,114,0.6378600823045267,0.3004115226337449,0.25102880658436216,0.3548589553246052,0.7151026392961878,0.6468928435291268,0.7784565517538939,0.5977637107260484,0.2026657970729049,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Factorising into a Double Bracket,354,165,0.6807909604519774,0.2542372881355932,0.20754581045076398,0.30220588235294116,0.7483567730327176,0.6933599992690922,0.7958951033971244,0.5462289506123774,0.18073905726507938,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Factorising into a Single Bracket,284,139,0.5985915492957746,0.30985915492957744,0.24782338308457713,0.37976020681048317,0.7473684210526315,0.6763374771587419,0.7989447724423809,0.5877928819708513,0.19970667624676106,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Factors and Highest Common Factor,471,255,0.6518046709129511,0.2781316348195329,0.23677029837074723,0.32446021118034407,0.7431675538253755,0.695511182372225,0.7903283578042433,0.5645963769808189,0.19102005910788805,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Find Missing Quantities,351,170,0.6068376068376068,0.23646723646723647,0.1897952193152993,0.28334269662921346,0.7961488739198476,0.7445148160827918,0.844081599312668,0.53093818293973,0.17806787481491332,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Finding the Equation of a Line,280,175,0.5678571428571428,0.24285714285714285,0.19131425133230187,0.2945723291307233,0.7843443006393263,0.730361794182152,0.8352847675756859,0.5541380014706366,0.18643824687034957,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Finding the Gradient and Intercept of a Line from the Equation,328,193,0.4481707317073171,0.2926829268292683,0.24148584822685057,0.3439481891512361,0.7237569060773481,0.6547935927055332,0.7841502774994209,0.5934854549403188,0.20476786077822023,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Fractions of an Amount,1271,400,0.6726986624704957,0.26278520849724624,0.23172067333251545,0.2995680406549972,0.791169028340081,0.7574778120026504,0.8182334046029789,0.509970918246751,0.17073725736869363,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Frequency Trees,86,65,0.7209302325581395,0.22093023255813954,0.14282106782106782,0.31398508594539937,0.7936827956989246,0.6383189145223308,0.8988271752402187,0.5007700589637593,0.16620500547768766,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Function Machines,144,95,0.625,0.22916666666666666,0.16767598343685303,0.30656934306569344,0.7938271604938271,0.7069216184497514,0.8643446202549463,0.528715577453807,0.17785074066698311,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Function Notation,83,57,0.5783132530120482,0.25301204819277107,0.16666666666666666,0.3334158415841583,0.8279761904761905,0.7445985864727638,0.9043453159041396,0.5081008647144251,0.16843255871093535,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Gradient Between Two Co-ordinates,92,71,0.4782608695652174,0.3804347826086957,0.28153703501690847,0.47426433790411365,0.6931818181818182,0.5804366243929707,0.7939191957051777,0.6215869744715203,0.21817336119725284,user_id,1000,False,N >= 200 interactions and >= 30 students
