Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
Deeper entity-token Transformer proxy,Deep Tabular,22687,0.7196191651606647,0.6454100346281983,0.6528436717520645,0.7013045599835722,0.7577144935922381,0.8529812390230276,0.3324607978661764,0.3179073948922131,0.5482805737318796,0.1851054439784708,0.0309496291821507,0.5877408508987456,0.1214390798448575
Compact entity-token Transformer proxy,Deep Tabular,22687,0.7204125710759466,0.6619975900576761,0.6689624083383494,0.7105010515771898,0.7572565350241452,0.8519331149410836,0.3480126595059671,0.3424156563516624,0.5558792535217382,0.186886445158282,0.0448723716682926,0.5215311004784688,0.1544737194061789
Decision Tree,Classical ML,22687,0.6922907391898444,0.6932122814460229,0.6769750766806107,0.6993626068383388,0.754426493239555,0.847840195315365,0.3688704848923303,0.3607339610328031,0.5848278570809236,0.2003879278277568,0.1193987919749398,0.303892409155567,0.3096830279523873
DeepFM-style proxy,Collaborative Deep,22687,0.7091726539427866,0.6206258051654108,0.6240968208019907,0.6810163604211593,0.7519570598855845,0.8509915139922686,0.2954834944169852,0.2715345875696167,0.5668849876262871,0.1908408043852379,0.0667624723900382,0.6575714470451313,0.101176942624047
Naive Bayes,Classical ML,22687,0.7065279675585137,0.6596454784283423,0.6635923448331131,0.7018450446110426,0.7375823295063351,0.8268707806696789,0.3296670631532583,0.3283536242658803,2.113725882413598,0.2682069948416236,0.256763964916656,0.4876503297555929,0.1930587133877223
Rasch-style logit baseline,Psychometric,22687,0.6831665711641028,0.5502564128684231,0.5115758515022366,0.6037195703003578,0.7350472523687928,0.8374579504752511,0.1913174447490551,0.1247659129168409,0.5911955588414509,0.2027295391207056,0.1000280491089833,0.8673218673218673,0.0321653069412866
Elo Rating,Psychometric,22687,0.7071009829417728,0.6304503819039624,0.6361908890071556,0.687313272024515,0.7274485282604919,0.8283686149447608,0.2996853797595484,0.2858452620880042,0.5832330953713472,0.1989041108251268,0.0697292223472238,0.6103711366869261,0.1287280995051491
2PL-inspired smoothed baseline,Psychometric,22687,0.6831665711641028,0.5502564128684231,0.5115758515022366,0.6037195703003578,0.7270076789304174,0.8250279386836918,0.1913174447490551,0.1247659129168409,0.6196355338785966,0.2086168924590189,0.121406379616976,0.8673218673218673,0.0321653069412866
Student-Question Backoff Mean,Simple,22687,0.6907480054656852,0.5743347489826165,0.557636784931605,0.6348723111249832,0.7231049782892979,0.8297874082436706,0.2246907421025792,0.1776439756006607,0.5756004043076585,0.1964946094804527,0.0432396928058177,0.7914134229923704,0.0599170790423966
Student Historical Mean,Simple,22687,0.6847533829946666,0.5914243786121052,0.5896248556228458,0.6525126241985043,0.6890142659308451,0.7940249765758589,0.2267404689527691,0.2067452345854281,0.7303357939834174,0.2067957870793583,0.0461799625025241,0.7017974912711755,0.1153537515046141
